tau,treated_mean_ar,control_mean_ar,mean_diff,n_events,car_diff
-4,-0.00030780567681302443,-7.625614957173572e-05,-0.00023154952724128872,503,-0.00023154952724128872
-3,0.0037114837715014107,-6.969663176782881e-05,0.0037811804032692395,503,0.003549630876027951
-2,0.0025523120516234045,-4.917941867190632e-05,0.002601491470295311,503,0.006151122346323262
-1,0.002356815058337968,-4.9718472056859375e-05,0.0024065335303948276,503,0.00855765587671809
0,0.014931353858354843,-8.866670576752365e-05,0.015020020564122367,503,0.023577676440840457
1,-0.0006382961944654728,-2.5719021245065003e-06,-0.0006357242923409663,503,0.022941952148499492
2,7.756158752799526e-05,-9.847916135500297e-06,8.740950366349556e-05,503,0.02302936165216299
3,-0.002318539736570239,9.958540299850252e-06,-0.0023284982768700894,503,0.0207008633752929
4,0.002060839575206516,-6.1812897975779794e-06,0.002067020865004094,503,0.022767884240296996
5,-0.0030957772069921084,2.267533958053747e-05,-0.003118452546572646,503,0.01964943169372435
6,0.0008568529241373386,1.3337761632068404e-05,0.0008435151625052702,503,0.02049294685622962
7,0.0004673056891759112,2.1178334586841563e-05,0.00044612735458906963,503,0.02093907421081869
8,-0.0017072313693337494,3.717213920828516e-05,-0.0017444035085420345,503,0.019194670702276657
