term,coef,z,p,odds_ratio,n_obs,pseudo_r2
const,-3.558678989146807,-4.569018529384014,4.9001346474129285e-06,0.028476417535079356,98070,0.0018781730484991321
ar_m1,1.5656829356289013,1.568335439150706,0.11680286940500746,4.785942310586747,98070,0.0018781730484991321
ar_m2,1.3985237544922577,1.3759506025133363,0.1688369271694493,4.049217912687303,98070,0.0018781730484991321
pre_car_34,1.0496938897280483,1.4244545758210194,0.1543149253990197,2.856776495574564,98070,0.0018781730484991321
log_mktcap,-0.07608829305483898,-2.226302332990353,0.02599393732213647,0.9267343787376982,98070,0.0018781730484991321
log_turnover,0.028470349798759,0.9756233221156406,0.32925116280307576,1.0288795038979144,98070,0.0018781730484991321
