model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T8-3 產業外溢 t+2（反轉檢定）,OK,ret_lag25,0.00017565736992462898,0.00040045311306575966,0.4386465336224861,0.6609185982604155,103242,258,477,3.705215660498862e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13690;sparse=89552
T8-3 產業外溢 t+2（反轉檢定）,OK,amihud,8.843231457780987e-05,9.537301747480364e-05,0.9272257177054567,0.35381153595555004,103242,258,477,3.705215660498862e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13690;sparse=89552
T8-3 產業外溢 t+2（反轉檢定）,OK,listing_age_years,0.0037414750277905253,0.0015051987558782694,2.485701647824848,0.012931212427163219,103242,258,477,3.705215660498862e-05,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13690;sparse=89552
T8-3 產業外溢 t+4（反轉檢定）,OK,abn_attention_weekend,-0.00013076059009946577,0.00015281062822665537,-0.855703504507003,0.3921638095535911,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
T8-3 產業外溢 t+4（反轉檢定）,OK,sector_peer_abn_att_weekend,0.0001725326477224028,0.00044708093885873244,0.3859092006087946,0.699564720511543,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
T8-3 產業外溢 t+4（反轉檢定）,OK,att_zero_base,0.0007969530394399059,0.0003699783011067966,2.1540534595023733,0.031238312568509397,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
T8-3 產業外溢 t+4（反轉檢定）,OK,ret_lag1,-0.0001471393012318872,0.0003609056513172414,-0.40769464455559207,0.683498724626812,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
T8-3 產業外溢 t+4（反轉檢定）,OK,ret_lag4,0.0001955886463201749,0.000356020195994903,0.549375143658915,0.5827492301319044,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
T8-3 產業外溢 t+4（反轉檢定）,OK,ret_lag25,-0.00016700606813629905,0.00037960547927678176,-0.4399464108222998,0.6599768521397871,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
T8-3 產業外溢 t+4（反轉檢定）,OK,amihud,0.0001054492671128134,0.00015707098916813188,0.6713478260453203,0.5020004928352562,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
T8-3 產業外溢 t+4（反轉檢定）,OK,listing_age_years,0.004631604858404459,0.0015056527390349104,3.076144145543954,0.002097518784032193,102829,257,475,-0.00032537905290519475,True,控制變數缺漏（診斷）：log_market_cap;turnover;foreign_holding_pct,dense=13598;sparse=89231
