model,status,term,coef,se,t,p,n_obs,n_entities,n_periods,r2_within,diagnostic,note,tier_composition
T7-1 起始事件（sparse＋silent）,OK,is_initiation_weekend,-0.0006705921224580237,0.0014268872669433387,-0.46996853780506315,0.638378436837113,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,is_initiation_weekday,-0.0004414870086591504,0.0008251187757828416,-0.5350587353199958,0.5926103352425252,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,att_zero_base,0.0014213877113919957,0.00029545736335750126,4.8108048323443775,1.5052438404605795e-06,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,ret_lag1,0.000531361230498081,0.0003937333851027263,1.3495457855559978,0.17716452933725169,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,ret_lag4,-0.0005152222889588357,0.00039318692608619006,-1.310374925451856,0.19007179509550287,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,ret_lag25,0.0003182667253981832,0.0003437710770576621,0.9258100714063243,0.3545467435119565,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,log_market_cap,-0.0026613836194784983,0.0004936403483473391,-5.391341344743308,7.007863400687597e-08,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,turnover,-0.0004224965695026735,0.0003118636920651181,-1.354747539557939,0.17550081585133115,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,amihud,-3.9645696533726615e-05,7.686728056492506e-05,-0.5157681687495154,0.6060173838590144,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-1 起始事件（sparse＋silent）,OK,foreign_holding_pct,0.000921299125640146,0.000569126086645684,1.618796163553317,0.10549402322486401,109665,259,478,0.001185759224996752,True,,silent=34209;sparse=75456
T7-2 起始事件 → 非三大法人 ROI,OK,is_initiation_weekend,5.07183425089917e-05,0.0057877441639195915,0.008763058814030939,0.99300819871485,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,is_initiation_weekday,0.003455461020003981,0.0023835327446749192,1.449722487649423,0.14713925245599224,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,att_zero_base,-0.0011809299708060521,0.0013342048123582027,-0.8851189561509393,0.3760947365950582,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,ret_lag1,-0.001094560722129251,0.0005805041977704725,-1.8855345514004929,0.05936077964515718,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,ret_lag4,-0.0008710127409962446,0.0007246578602337657,-1.2019641113328525,0.22938045566410792,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,ret_lag25,-0.0031914113031406223,0.0010105533013972524,-3.158083100345111,0.001588604063166077,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,log_market_cap,-0.004837880327907192,0.0022336457768443833,-2.1659120609275746,0.030320408661108855,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,turnover,0.0016362972601401539,0.000417558714328311,3.918723772230014,8.908191245970976e-05,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,amihud,0.003788371747641499,0.0043331021865960825,0.8742862698600462,0.3819646043005287,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,foreign_holding_pct,0.019845950683404515,0.003564945943004151,5.566971000598257,2.5990934515718322e-08,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-2 起始事件 → 非三大法人 ROI,OK,non_inst_roi_lag1,0.2905804325237493,0.012596960519982681,23.067503630165287,0.0,94895,258,458,0.08136571370234758,True,,silent=25267;sparse=69628
T7-3 起始事件（sparse）,OK,is_initiation_weekend,0.0008781462023965584,0.0019914615642653106,0.44095563688196204,0.6592463899328918,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,is_initiation_weekday,-0.0006840813503745609,0.0010777018289398566,-0.6347593852072209,0.5255872996912285,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,att_zero_base,0.00026243497878205484,0.00034924224719072464,0.7514411011069245,0.4523896018764586,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,ret_lag1,0.00014894047431338625,0.0004028383288796664,0.3697276640174846,0.7115864651616526,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,ret_lag4,-0.0002758295699396599,0.0004428981485165865,-0.6227832987414941,0.5334288356776522,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,ret_lag25,0.0007745553796395853,0.0003921302657058184,1.975250184388133,0.04824343810269616,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,log_market_cap,-0.008258428754842218,0.0012545080291034572,-6.583001912506021,4.6408210607751244e-11,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,turnover,-0.00048613731861948755,0.0003454456919370518,-1.4072756730400129,0.15934982006026388,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,amihud,8.155133753954088e-05,9.028518656246915e-05,0.9032637650154797,0.3663888349404518,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（sparse）,OK,foreign_holding_pct,-0.00014768032811965102,0.0006026187099068548,-0.24506429304605823,0.8064073230980311,75456,256,478,0.003428773628869619,True,,sparse=75456
T7-3 起始事件（silent）,OK,is_initiation_weekend,-0.002061789276472201,0.002078673935621596,-0.9918771968705397,0.32126459592431944,34209,212,478,0.004846974538223137,True,,silent=34209
T7-3 起始事件（silent）,OK,is_initiation_weekday,0.0006806507812134121,0.001333243402007413,0.5105225198854032,0.6096888045197217,34209,212,478,0.004846974538223137,True,,silent=34209
T7-3 起始事件（silent）,OK,att_zero_base,0.00020746107575966562,0.0004713368473888736,0.4401545877623718,0.659827986773565,34209,212,478,0.004846974538223137,True,,silent=34209
T7-3 起始事件（silent）,OK,ret_lag1,0.001291103399278308,0.0006465732383433355,1.9968401454201878,0.04585062481109814,34209,212,478,0.004846974538223137,True,,silent=34209
