threshold,n_match_rows_kept,share_kept,n_dense_tickers,status,beta_weekend,t_weekend,beta_weekday,t_weekday,n_obs
5,81103,0.47408416290121763,26,OK,0.0003951693322501001,1.5224338397853212,4.322611236912578e-05,0.20496837516436273,62885
10,91521,0.5349821421264607,31,OK,0.00040090811178463423,1.6242815384673286,0.00014975913875327676,0.6850074277728112,68689
15,97986,0.5727730267195875,36,OK,0.00045950818373860296,1.7955069658001301,0.000230181356432412,1.0842952736442384,72414
20,109551,0.6403757460265501,45,OK,0.0004357964762274739,1.7411671857878497,0.0002441821927275703,1.212661311005469,75171
30,142192,0.831177333652885,67,OK,0.00039334277243332816,1.602736734341885,0.00048179696343649697,2.5793495962046924,78874
999,171073,1.0,78,OK,0.0004037706047004532,1.438507511380339,0.00040948323620276165,2.0181639158403937,93778
