ticker,first_date,last_date,n_days,n_adjustments,min_adj_factor,n_missing_close,n_missing_inst,adjustment_method,adjustment_verified
1522,2014-01-02,2025-03-31,2742,11,0.5930395519594682,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1524,2014-01-02,2025-03-31,2735,9,0.6933368243759266,0,413,backward from TaiwanStockDividendResult before/after reference price,True
1525,2014-01-02,2025-03-31,2742,13,0.6531750315702874,3,393,backward from TaiwanStockDividendResult before/after reference price,True
1526,2014-01-02,2025-03-31,2742,11,0.6669007553165505,0,524,backward from TaiwanStockDividendResult before/after reference price,True
1527,2014-01-02,2025-03-31,2734,13,0.5686983758323407,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1533,2014-01-02,2025-03-31,2742,8,0.872653025602613,0,362,backward from TaiwanStockDividendResult before/after reference price,True
1536,2014-01-02,2025-03-31,2742,14,0.7232224691972158,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1582,2014-01-02,2025-03-31,2735,13,0.5492437256876356,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1598,2014-01-02,2025-03-31,2742,12,0.6593040443308437,190,766,backward from TaiwanStockDividendResult before/after reference price,True
1603,2014-01-02,2025-03-31,2632,12,0.801145889130648,3,559,backward from TaiwanStockDividendResult before/after reference price,True
1604,2014-01-02,2025-03-31,2737,13,0.4830721400455769,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1605,2014-01-02,2025-03-31,2742,10,0.6614385847968219,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1608,2014-01-02,2025-03-31,2742,8,0.6638785263130841,0,317,backward from TaiwanStockDividendResult before/after reference price,True
1609,2014-01-02,2025-03-31,2742,10,0.6662256413583592,0,320,backward from TaiwanStockDividendResult before/after reference price,True
1611,2014-01-02,2025-03-31,2729,10,0.7112964757327136,0,319,backward from TaiwanStockDividendResult before/after reference price,True
1612,2014-01-02,2025-03-31,2742,12,0.5096357739504023,0,390,backward from TaiwanStockDividendResult before/after reference price,True
1614,2014-01-02,2025-03-31,2742,13,0.7098304441525767,2,533,backward from TaiwanStockDividendResult before/after reference price,True
1615,2014-01-02,2025-03-31,2742,15,0.34057530883419707,19,828,backward from TaiwanStockDividendResult before/after reference price,True
1616,2014-01-02,2025-03-31,2742,2,0.9306662831808745,0,746,backward from TaiwanStockDividendResult before/after reference price,True
1707,2014-01-02,2025-03-31,2742,13,0.6516258677847695,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1708,2014-01-02,2025-03-31,2742,12,0.43564180758290794,0,314,backward from TaiwanStockDividendResult before/after reference price,True
1709,2014-01-02,2025-03-31,2735,13,0.49879118276469303,0,323,backward from TaiwanStockDividendResult before/after reference price,True
1710,2014-01-02,2025-03-31,2742,10,0.7276508992859549,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1711,2014-01-02,2025-03-31,2742,12,0.675235921866432,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1712,2014-01-02,2025-03-31,2742,12,0.4947995204905539,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1713,2014-01-02,2025-03-31,2742,12,0.6153994427688049,17,960,backward from TaiwanStockDividendResult before/after reference price,True
1714,2014-01-02,2025-03-31,2742,10,0.697525662875945,0,311,backward from TaiwanStockDividendResult before/after reference price,True
1717,2014-01-02,2025-03-31,2735,13,0.5158751787200847,0,311,backward from TaiwanStockDividendResult before/after reference price,True
