ticker,name_short,sector
1101,台泥,水泥
1102,亞泥,水泥
1103,嘉泥,水泥
1104,環泥,水泥
1108,幸福,水泥
1109,信大,水泥
1110,東泥,水泥
1201,味全,食品
1203,味王,食品
1210,大成,食品
1213,大飲,食品
1215,卜蜂,食品
1216,統一,食品
1217,愛之味,食品
1218,泰山,食品
1219,福壽,食品
1220,台榮,食品
1301,台塑,塑膠
1303,南亞,塑膠
1304,台聚,塑膠
1305,華夏,塑膠
1307,三芳,塑膠
1308,亞聚,塑膠
1309,台達化,塑膠
1310,台苯,塑膠
1312,國喬,塑膠
1313,聯成,塑膠
1319,東陽,汽車
1338,廣華-KY,汽車
1339,昭輝,汽車
1512,瑞利,汽車
1521,大億,汽車
1522,堤維西,汽車
1524,耿鼎,汽車
1525,江申,汽車
1533,車王電,汽車
1536,和大,汽車
1402,遠東新,紡織
1409,新纖,紡織
1410,南染,紡織
1413,宏洲,紡織
1414,東和,紡織
1417,嘉裕,紡織
1418,東華,紡織
1419,新紡,紡織
1423,利華,紡織
1434,福懋,紡織
1432,大魯閣,運動休閒
1598,岱宇,運動休閒
1736,喬山,運動休閒
2762,世界健身-KY,運動休閒
4536,拓凱,運動休閒
5306,桂盟,運動休閒
6670,復盛應用,運動休閒
6768,志強-KY,運動休閒
6890,來億-KY,運動休閒
6965,中傑-KY,運動休閒
1471,首利,電子零組件
1582,信錦,電子零組件
2059,川湖,電子零組件
2308,台達電,電子零組件
2313,華通,電子零組件
2316,楠梓電,電子零組件
2327,國巨*,電子零組件
2328,廣宇,電子零組件
2355,敬鵬,電子零組件
2367,燿華,電子零組件
1503,士電,電機機械
1504,東元,電機機械
1506,正道,電機機械
1513,中興電,電機機械
1514,亞力,電機機械
1515,力山,電機機械
1517,利奇,電機機械
1519,華城,電機機械
1526,日馳,電機機械
1527,鑽全,電機機械
1603,華電,電器電纜
1604,聲寶,電器電纜
1605,華新,電器電纜
1608,華榮,電器電纜
1609,大亞,電器電纜
1611,中電,電器電纜
1612,宏泰,電器電纜
1614,三洋電,電器電纜
1615,大山,電器電纜
1616,億泰,電器電纜
1707,葡萄王,生技
1720,生達,生技
1731,美吾華,生技
1733,五鼎,生技
1734,杏輝,生技
1752,南光,生技
1760,寶齡富錦,生技
1762,中化生,生技
1783,和康生,生技
1786,科妍,生技
1708,東鹼,化學
1709,和益,化學
1710,東聯,化學
1711,永光,化學
1712,興農,化學
1713,國化,化學
1714,和桐,化學
1717,長興,化學
1718,中纖,化學
1721,三晃,化學
1802,台玻,玻璃
1806,冠軍,玻璃
1809,中釉,玻璃
1810,和成,玻璃
1817,凱撒衛,玻璃
1903,士紙,造紙
1904,正隆,造紙
1905,華紙,造紙
1906,寶隆,造紙
1907,永豐餘,造紙
1909,榮成,造紙
6790,永豐實,造紙
2002,中鋼,鋼鐵
2006,東和鋼鐵,鋼鐵
2007,燁興,鋼鐵
2008,高興昌,鋼鐵
2009,第一銅,鋼鐵
2010,春源,鋼鐵
2012,春雨,鋼鐵
2013,中鋼構,鋼鐵
2014,中鴻,鋼鐵
2015,豐興,鋼鐵
2062,橋椿,居家生活
3557,嘉威,居家生活
6671,三能-KY,居家生活
6754,匯僑設計,居家生活
6807,峰源-KY,居家生活
8464,億豐,居家生活
8482,商億-KY,居家生活
9911,櫻花,居家生活
9924,福興,居家生活
9934,成霖,居家生活
2072,世紀風電,綠能環保
3708,上緯投控,綠能環保
5292,華懋,綠能環保
6581,鋼聯,綠能環保
6641,基士德-KY,綠能環保
6869,雲豹能源,綠能環保
6873,泓德能源,綠能環保
6887,寶綠特-KY,綠能環保
6923,中台,綠能環保
6944,兆聯實業,綠能環保
2101,南港,橡膠
2102,泰豐,橡膠
2103,台橡,橡膠
2104,國際中橡,橡膠
2105,正新,橡膠
2106,建大,橡膠
2107,厚生,橡膠
2108,南帝,橡膠
2109,華豐,橡膠
2114,鑫永銓,橡膠
2208,台船,航運
2601,益航,航運
2603,長榮,航運
2605,新興,航運
2606,裕民,航運
2607,榮運,航運
2608,嘉里大榮,航運
2609,陽明,航運
2610,華航,航運
2611,志信,航運
2302,麗正,半導體
2303,聯電,半導體
2329,華泰,半導體
2330,台積電,半導體
2337,旺宏,半導體
2338,光罩,半導體
2340,台亞,半導體
2342,茂矽,半導體
2344,華邦電,半導體
2351,順德,半導體
2312,金寶,其他電子
2317,鴻海,其他電子
2354,鴻準,其他電子
2359,所羅門,其他電子
2360,致茂,其他電子
2373,震旦行,其他電子
2390,云辰,其他電子
2404,漢唐,其他電子
2423,固緯,其他電子
2433,互盛電,其他電子
2323,中環,光電
2349,錸德,光電
2374,佳能,光電
2393,億光,光電
2406,國碩,光電
2409,友達,光電
2426,鼎元,光電
2429,銘旺科,光電
2438,翔耀,光電
2466,冠西電,光電
2347,聯強,電子通路
2414,精技,電子通路
2430,燦坤,電子通路
3010,華立,電子通路
3028,增你強,電子通路
