bin,beta,se,mean_level,n_obs
1,0.0001629030705141291,0.0004263332672236844,0.10124645816255265,14592
2,0.00030811185910584307,0.0004913369744921142,0.1752175915066346,14585
3,0.00030552630962100877,0.0004495268141417948,0.30571633013029126,14469
4,0.000233571787290939,0.0005095696786787028,0.601721677222142,14411
5,0.000599240436791534,0.00043353675752851007,4.867842740172977,14357
