kind,ticker,status,n_rows,first,last
price,2014,OK,2742,2014-01-02,2025-03-31
price,2015,OK,2742,2014-01-02,2025-03-31
price,2062,OK,2742,2014-01-02,2025-03-31
price,3557,OK,2717,2014-01-02,2025-03-31
price,6671,OK,1526,2018-12-11,2025-03-31
price,6754,OK,1326,2019-10-16,2025-03-31
price,6807,OK,711,2022-04-25,2025-03-31
price,8464,OK,2493,2015-01-06,2025-03-31
price,8482,OK,1609,2018-08-15,2025-03-31
price,9911,OK,2732,2014-01-02,2025-03-31
price,9924,OK,2742,2014-01-02,2025-03-31
price,9934,OK,2742,2014-01-02,2025-03-31
price,2072,OK,1050,2020-11-30,2025-03-31
price,3708,OK,2090,2016-08-31,2025-03-31
price,5292,OK,1267,2020-01-07,2025-03-31
price,6581,OK,2082,2016-09-10,2025-03-31
price,6641,OK,1583,2018-09-21,2025-03-31
price,6869,OK,770,2022-01-19,2025-03-31
price,6873,OK,785,2021-12-28,2025-03-31
price,6887,OK,16,2025-03-10,2025-03-31
price,6923,OK,484,2023-03-30,2025-03-31
price,6944,OK,467,2023-04-27,2025-03-31
price,2101,OK,2742,2014-01-02,2025-03-31
price,2102,OK,2741,2014-01-02,2025-03-31
price,2103,OK,2742,2014-01-02,2025-03-31
price,2104,OK,2742,2014-01-02,2025-03-31
price,2105,OK,2742,2014-01-02,2025-03-31
price,2106,OK,2742,2014-01-02,2025-03-31
price,2107,OK,2717,2014-01-02,2025-03-31
price,2108,OK,2742,2014-01-02,2025-03-31
price,2109,OK,2735,2014-01-02,2025-03-31
price,2114,OK,2742,2014-01-02,2025-03-31
price,2208,OK,2735,2014-01-02,2025-03-31
price,2601,OK,2742,2014-01-02,2025-03-31
price,2603,OK,2735,2014-01-02,2025-03-31
price,2605,OK,2742,2014-01-02,2025-03-31
price,2606,OK,2742,2014-01-02,2025-03-31
price,2607,OK,2742,2014-01-02,2025-03-31
price,2608,OK,2742,2014-01-02,2025-03-31
price,2609,OK,2733,2014-01-02,2025-03-31
price,2610,OK,2742,2014-01-02,2025-03-31
price,2611,OK,2742,2014-01-02,2025-03-31
price,2302,OK,2742,2014-01-02,2025-03-31
price,2303,OK,2742,2014-01-02,2025-03-31
price,2329,OK,2735,2014-01-02,2025-03-31
price,2330,OK,2742,2014-01-02,2025-03-31
price,2337,OK,2733,2014-01-02,2025-03-31
price,2338,OK,2742,2014-01-02,2025-03-31
price,2340,OK,2725,2014-01-02,2025-03-31
price,2342,OK,2734,2014-01-02,2025-03-31
price,2344,OK,2742,2014-01-02,2025-03-31
price,2351,OK,2742,2014-01-02,2025-03-31
price,2312,OK,2742,2014-01-02,2025-03-31
price,2317,OK,2736,2014-01-02,2025-03-31
price,2354,OK,2742,2014-01-02,2025-03-31
price,2359,OK,2735,2014-01-02,2025-03-31
price,2360,OK,2742,2014-01-02,2025-03-31
price,2373,OK,2732,2014-01-02,2025-03-31
price,2390,OK,2735,2014-01-02,2025-03-31
price,2404,OK,2735,2014-01-02,2025-03-31
price,2423,OK,2742,2014-01-02,2025-03-31
price,2433,OK,2742,2014-01-02,2025-03-31
price,2323,OK,2719,2014-01-02,2025-03-31
price,2349,OK,2722,2014-01-02,2025-03-31
price,2374,OK,2734,2014-01-02,2025-03-31
price,2393,OK,2742,2014-01-02,2025-03-31
price,2406,OK,2737,2014-01-02,2025-03-31
price,2409,OK,2735,2014-01-02,2025-03-31
price,2426,OK,2732,2014-01-02,2025-03-31
price,2429,OK,2713,2014-01-02,2025-03-31
price,2438,OK,2725,2014-01-02,2025-03-31
price,2466,OK,2742,2014-01-02,2025-03-31
price,2347,OK,2742,2014-01-02,2025-03-31
price,2414,OK,2742,2014-01-02,2025-03-31
price,2430,OK,2735,2014-01-02,2025-03-31
price,3010,OK,2742,2014-01-02,2025-03-31
price,3028,OK,2742,2014-01-02,2025-03-31
price,3033,OK,2742,2014-01-02,2025-03-31
price,3036,OK,2742,2014-01-02,2025-03-31
price,3048,OK,2742,2014-01-02,2025-03-31
price,3054,OK,2735,2014-01-02,2025-03-31
price,3055,OK,2734,2014-01-02,2025-03-31
price,2427,OK,2742,2014-01-02,2025-03-31
price,2453,OK,2742,2014-01-02,2025-03-31
price,2468,OK,2742,2014-01-02,2025-03-31
price,2471,OK,2742,2014-01-02,2025-03-31
price,2480,OK,2734,2014-01-02,2025-03-31
price,3029,OK,2742,2014-01-02,2025-03-31
price,4994,OK,2735,2014-01-02,2025-03-31
price,5203,OK,2742,2014-01-02,2025-03-31
price,6112,OK,2742,2014-01-02,2025-03-31
price,6183,OK,2742,2014-01-02,2025-03-31
price,2616,OK,2742,2014-01-02,2025-03-31
price,6505,OK,2742,2014-01-02,2025-03-31
price,8926,OK,2742,2014-01-02,2025-03-31
price,9908,OK,2742,2014-01-02,2025-03-31
price,9918,OK,2742,2014-01-02,2025-03-31
price,9926,OK,2740,2014-01-02,2025-03-31
price,9931,OK,2737,2014-01-02,2025-03-31
price,9937,OK,2742,2014-01-02,2025-03-31
price,2701,OK,2742,2014-01-02,2025-03-31
price,2702,OK,2742,2014-01-02,2025-03-31
price,2704,OK,2742,2014-01-02,2025-03-31
price,2705,OK,2735,2014-01-02,2025-03-31
price,2706,OK,2742,2014-01-02,2025-03-31
price,2707,OK,2742,2014-01-02,2025-03-31
price,2712,OK,2742,2014-01-02,2025-03-31
price,2722,OK,2742,2014-01-02,2025-03-31
price,2723,OK,2742,2014-01-02,2025-03-31
price,2727,OK,2742,2014-01-02,2025-03-31
price,2801,OK,2742,2014-01-02,2025-03-31
price,2812,OK,2742,2014-01-02,2025-03-31
price,2816,OK,2742,2014-01-02,2025-03-31
price,2820,OK,2742,2014-01-02,2025-03-31
price,2832,OK,2742,2014-01-02,2025-03-31
price,2834,OK,2742,2014-01-02,2025-03-31
price,2836,OK,2742,2014-01-02,2025-03-31
price,2838,OK,2742,2014-01-02,2025-03-31
