article_id,timestamp,category,n_tickers_in_article
M.1589602412.A.2DF,2020-05-16 12:13:32,新聞,42
M.1624350254.A.BA5,2021-06-22 16:24:14,情報,42
M.1633508441.A.474,2021-10-06 16:20:41,情報,42
M.1622710082.A.F3E,2021-06-03 16:48:02,情報,41
M.1633076254.A.F3A,2021-10-01 16:17:34,情報,41
M.1636358786.A.C08,2021-11-08 16:06:26,情報,41
M.1625213948.A.0BB,2021-07-02 16:19:08,情報,40
M.1446047894.A.6E7,2015-10-28 23:58:14,標的,40
M.1631175612.A.E44,2021-09-09 16:20:12,情報,40
M.1623834301.A.C44,2021-06-16 17:05:01,情報,39
M.1621356962.A.1D2,2021-05-19 00:56:02,情報,39
M.1622796345.A.319,2021-06-04 16:45:45,情報,39
M.1623057045.A.43F,2021-06-07 17:10:45,情報,39
M.1624955075.A.BA2,2021-06-29 16:24:35,情報,39
M.1714373519.A.77A,2024-04-29 14:51:59,情報,39
M.1624436570.A.BC4,2021-06-23 16:22:50,情報,39
M.1621240325.A.71F,2021-05-17 16:32:05,情報,39
M.1623140692.A.036,2021-06-08 16:24:52,情報,39
M.1623832199.A.6BB,2021-06-16 16:29:59,情報,39
M.1622798196.A.5D8,2021-06-04 17:16:36,情報,39
M.1631606679.A.117,2021-09-14 16:04:39,情報,39
M.1637049997.A.E8C,2021-11-16 16:06:37,情報,39
M.1631089232.A.EDF,2021-09-08 16:20:32,情報,38
M.1623228229.A.562,2021-06-09 16:43:49,情報,38
M.1624522988.A.D4F,2021-06-24 16:23:08,情報,38
M.1622451355.A.008,2021-05-31 16:55:55,情報,38
M.1678172546.A.F1C,2023-03-07 15:02:26,情報,38
M.1625646382.A.166,2021-07-07 16:26:22,情報,38
M.1636445190.A.D39,2021-11-09 16:06:30,情報,37
M.1652688574.A.B05,2022-05-16 16:09:34,情報,37
M.1625476483.A.1AA,2021-07-05 17:14:43,情報,37
M.1631866008.A.F1D,2021-09-17 16:06:48,情報,37
M.1623912652.A.384,2021-06-17 14:50:52,情報,37
M.1636034269.A.319,2021-11-04 21:57:49,情報,37
M.1650960920.A.124,2022-04-26 16:15:20,情報,37
M.1637741037.A.27F,2021-11-24 16:03:57,情報,37
M.1641979080.A.EAE,2022-01-12 17:18:00,情報,37
M.1622537521.A.C5B,2021-06-01 16:52:01,情報,37
M.1625818780.A.8C6,2021-07-09 16:19:40,情報,37
M.1673852568.A.B79,2023-01-16 15:02:48,情報,37
M.1625127341.A.06E,2021-07-01 16:15:41,情報,37
M.1685952839.A.E06,2023-06-05 16:13:59,情報,37
M.1622018024.A.50E,2021-05-26 16:33:44,情報,37
M.1637138472.A.4C8,2021-11-17 16:41:12,情報,37
M.1623313907.A.C01,2021-06-10 16:31:47,情報,37
M.1626682106.A.C5D,2021-07-19 16:08:26,情報,36
M.1688453856.A.577,2023-07-04 14:57:36,情報,36
M.1624263555.A.466,2021-06-21 16:19:15,情報,36
M.1631694089.A.B75,2021-09-15 16:21:29,情報,36
M.1682583180.A.D00,2023-04-27 16:13:00,情報,36
M.1718352933.A.C73,2024-06-14 16:15:33,情報,36
M.1632297954.A.CD8,2021-09-22 16:05:54,情報,36
M.1622623685.A.546,2021-06-02 16:48:05,情報,36
M.1632989916.A.CEF,2021-09-30 16:18:36,情報,36
M.1650011303.A.C63,2022-04-15 16:28:23,情報,36
M.1627027531.A.0D9,2021-07-23 16:05:31,情報,36
M.1664953273.A.AA9,2022-10-05 15:01:13,情報,36
M.1646900763.A.1FF,2022-03-10 16:26:03,情報,36
M.1631779774.A.901,2021-09-16 16:09:34,情報,36
M.1616203735.A.F78,2021-03-20 09:28:55,其他,36
M.1632817096.A.FBF,2021-09-28 16:18:16,情報,36
M.1637568464.A.314,2021-11-22 16:07:44,情報,35
M.1635842656.A.580,2021-11-02 16:44:16,情報,35
M.1689663259.A.DBD,2023-07-18 14:54:19,情報,35
M.1721131468.A.EA6,2024-07-16 20:04:28,情報,35
M.1719302838.A.C1E,2024-06-25 16:07:18,情報,35
M.1701763940.A.8B5,2023-12-05 16:12:20,情報,35
M.1634633715.A.B07,2021-10-19 16:55:15,情報,35
M.1672215347.A.8C9,2022-12-28 16:15:47,情報,35
M.1672124027.A.871,2022-12-27 14:53:47,情報,35
M.1675061613.A.9B6,2023-01-30 14:53:33,情報,35
M.1690359177.A.121,2023-07-26 16:12:57,情報,35
M.1600337000.A.2EE,2020-09-17 18:03:20,其他,35
M.1661936001.A.3B5,2022-08-31 16:53:21,情報,35
M.1645089003.A.3B5,2022-02-17 17:10:03,情報,35
M.1631001947.A.0DB,2021-09-07 16:05:47,情報,35
M.1664266985.A.A5D,2022-09-27 16:23:05,情報,35
M.1630656262.A.742,2021-09-03 16:04:22,情報,35
M.1650874934.A.36F,2022-04-25 16:22:14,情報,35
M.1690445389.A.500,2023-07-27 16:09:49,情報,35
M.1679036412.A.1E1,2023-03-17 15:00:12,情報,35
M.1638173202.A.031,2021-11-29 16:06:42,情報,35
M.1673857821.A.D2A,2023-01-16 16:30:21,情報,35
M.1517031697.A.B97,2018-01-27 13:41:37,請益,35
M.1672042238.A.472,2022-12-26 16:10:38,情報,35
M.1625559534.A.46C,2021-07-06 16:18:54,情報,35
M.1726474052.A.3AB,2024-09-16 16:07:32,情報,34
