ticker,name_short,sector,n_matches,n_articles,n_weeks_nonzero,first_match,last_match,share_code_match,share_weekend
2338,光罩,半導體,297,297,165,2015-05-08 19:14:38,2025-01-13 13:03:48,0.5993265993265994,0.09090909090909091
2404,漢唐,其他電子,293,293,179,2015-05-13 18:15:29,2025-01-20 22:19:40,0.7508532423208191,0.21160409556313994
2838,聯邦銀,金融,284,284,184,2015-06-04 01:16:21,2025-01-14 21:06:41,0.3767605633802817,0.15492957746478872
2349,錸德,光電,281,281,108,2015-05-20 13:21:09,2024-11-27 16:49:30,0.6512455516014235,0.060498220640569395
6869,雲豹能源,綠能環保,278,278,78,2019-01-23 16:09:09,2025-01-21 22:24:37,0.5899280575539568,0.12949640287769784
1319,東陽,汽車,273,273,171,2015-04-30 17:52:42,2025-01-14 23:15:45,0.8534798534798534,0.10989010989010989
2208,台船,航運,264,264,172,2015-06-02 20:46:10,2025-01-10 22:49:25,0.5454545454545454,0.14772727272727273
1305,華夏,塑膠,256,256,162,2015-05-04 23:00:52,2025-01-01 10:20:40,0.71484375,0.11328125
1503,士電,電機機械,251,251,98,2015-05-13 06:36:04,2025-01-23 18:39:47,0.6454183266932271,0.15139442231075698
1810,和成,玻璃,249,249,172,2015-05-09 14:18:12,2025-01-17 11:24:41,0.11646586345381527,0.18072289156626506
1904,正隆,造紙,246,246,156,2015-04-29 15:54:30,2025-01-01 23:13:31,0.5975609756097561,0.1910569105691057
1707,葡萄王,生技,243,243,138,2015-05-12 21:37:47,2024-11-11 17:00:46,0.6625514403292181,0.23045267489711935
2108,南帝,橡膠,243,243,136,2015-05-04 23:04:29,2024-12-26 20:47:58,0.7736625514403292,0.09876543209876543
2359,所羅門,其他電子,240,240,75,2015-08-11 22:08:23,2025-01-15 22:15:57,0.6541666666666667,0.07083333333333333
1218,泰山,食品,240,240,132,2015-08-26 20:50:34,2025-01-10 14:34:57,0.5125,0.15833333333333333
2329,華泰,半導體,240,240,125,2015-04-30 19:22:03,2024-11-15 11:37:37,0.6625,0.11666666666666667
1304,台聚,塑膠,234,234,124,2015-06-09 12:16:28,2025-01-15 14:00:02,0.4444444444444444,0.08974358974358974
1802,台玻,玻璃,229,229,121,2015-05-15 16:29:26,2024-11-21 21:51:58,0.6899563318777293,0.13537117903930132
