ticker,name_short,venue,source,official_abbreviation,name_matches_official,listing_date,is_ky
1605,華新,TWSE,TWSE t187ap03_L,華新,1,1972-11-03,0
1608,華榮,TWSE,TWSE t187ap03_L,華榮,1,1988-07-11,0
1609,大亞,TWSE,TWSE t187ap03_L,大亞,1,1988-12-12,0
1611,中電,TWSE,TWSE t187ap03_L,中電,1,1990-01-16,0
1612,宏泰,TWSE,TWSE t187ap03_L,宏泰,1,1993-05-08,0
1614,三洋電,TWSE,TWSE t187ap03_L,三洋電,1,1997-09-18,0
1615,大山,TWSE,TWSE t187ap03_L,大山,1,2000-03-30,0
1616,億泰,TWSE,TWSE t187ap03_L,億泰,1,2000-09-11,0
1707,葡萄王,TWSE,TWSE t187ap03_L,葡萄王,1,1982-12-20,0
1720,生達,TWSE,TWSE t187ap03_L,生達,1,1995-12-12,0
1731,美吾華,TWSE,TWSE t187ap03_L,美吾華,1,2001-09-17,0
1733,五鼎,TWSE,TWSE t187ap03_L,五鼎,1,2001-09-17,0
1734,杏輝,TWSE,TWSE t187ap03_L,杏輝,1,2002-08-26,0
1752,南光,TWSE,TWSE t187ap03_L,南光,1,2022-01-19,0
1760,寶齡富錦,TWSE,TWSE t187ap03_L,寶齡富錦,1,2018-01-23,0
1762,中化生,TWSE,TWSE t187ap03_L,中化生,1,2010-12-20,0
1783,和康生,TWSE,TWSE t187ap03_L,和康生,1,2013-12-20,0
1786,科妍,TWSE,TWSE t187ap03_L,科妍,1,2013-11-12,0
1708,東鹼,TWSE,TWSE t187ap03_L,東鹼,1,1986-06-16,0
1709,和益,TWSE,TWSE t187ap03_L,和益,1,1986-07-03,0
1710,東聯,TWSE,TWSE t187ap03_L,東聯,1,1987-10-21,0
1711,永光,TWSE,TWSE t187ap03_L,永光,1,1988-12-27,0
1712,興農,TWSE,TWSE t187ap03_L,興農,1,1989-12-14,0
1713,國化,TWSE,TWSE t187ap03_L,國化,1,1990-01-31,0
1714,和桐,TWSE,TWSE t187ap03_L,和桐,1,1991-08-30,0
1717,長興,TWSE,TWSE t187ap03_L,長興,1,1994-03-31,0
1718,中纖,TWSE,TWSE t187ap03_L,中纖,1,1963-12-02,0
1721,三晃,TWSE,TWSE t187ap03_L,國慶科技,0,1996-05-16,0
1802,台玻,TWSE,TWSE t187ap03_L,台玻,1,1973-07-20,0
1806,冠軍,TWSE,TWSE t187ap03_L,冠軍,1,1992-09-29,0
1809,中釉,TWSE,TWSE t187ap03_L,中釉,1,1996-04-30,0
1810,和成,TWSE,TWSE t187ap03_L,和成,1,1991-10-14,0
1817,凱撒衛,TWSE,TWSE t187ap03_L,凱撒衛,1,2013-10-24,0
