ticker,name_short,sector,collision_group,is_code_only,code_only_reason,variants,match_mode,blocked_after,blocked_before,n_matches,n_code,n_name,n_name_with_context
1612,宏泰,電器電纜,,False,,宏泰,name_with_context,,,54,34,0,20
1614,三洋電,電器電纜,,False,,三洋電,name,,,22,12,10,0
1615,大山,電器電纜,,True,大山,大山,name_with_context,,,24,24,0,0
1616,億泰,電器電纜,,False,,億泰,name_with_context,,,40,17,0,23
1707,葡萄王,生技,,False,,葡萄王,name,,,243,161,82,0
1708,東鹼,化學,,False,,東鹼,name_with_context,,,155,115,0,40
1709,和益,化學,,False,,和益,name_with_context,,,41,30,0,11
1710,東聯,化學,,False,,東聯,name_with_context,,,203,150,0,53
1711,永光,化學,,False,,永光,name_with_context,,,118,71,0,47
1712,興農,化學,,False,,興農,name_with_context,,,124,57,0,67
1713,國化,化學,,False,,國化,name_with_context,,,43,16,0,27
1714,和桐,化學,,False,,和桐,name_with_context,,,46,38,0,8
1717,長興,化學,,False,,長興,name_with_context,,,83,63,0,20
1718,中纖,化學,,False,,中纖,name_with_context,,,121,85,0,36
1720,生達,生技,,False,,生達,name_with_context,,,98,64,0,34
1721,三晃,化學,,False,,三晃,name_with_context,,,114,78,0,36
1731,美吾華,生技,,False,,美吾華,name,,,78,58,20,0
1733,五鼎,生技,,False,,五鼎,name_with_context,,,27,24,0,3
1734,杏輝,生技,,False,,杏輝,name_with_context,,,147,54,0,93
1736,喬山,運動休閒,,True,喬山,喬山,name_with_context,,,60,60,0,0
1752,南光,生技,,False,,南光,name_with_context,,,113,95,0,18
1760,寶齡富錦,生技,,False,,寶齡富錦,name,,,327,183,144,0
1783,和康生,生技,,False,,和康生,name,,,57,36,21,0
1786,科妍,生技,,False,,科妍,name_with_context,,,55,38,0,17
1802,台玻,玻璃,,False,,台玻,name_with_context,,,229,158,0,71
1806,冠軍,玻璃,,True,冠軍（銷售冠軍／冠軍教練／交投冠軍：抽驗 6 筆全數為普通名詞）,冠軍,name_with_context,,,21,21,0,0
1809,中釉,玻璃,,False,,中釉,name_with_context,,,29,19,0,10
1810,和成,玻璃,,False,,和成,name_with_context,,,249,29,0,220
1817,凱撒衛,玻璃,,False,,凱撒衛,name,,,33,27,6,0
1903,士紙,造紙,,False,,士紙,name_with_context,,,63,44,0,19
1904,正隆,造紙,,False,,正隆,name_with_context,,,246,147,0,99
1905,華紙,造紙,,False,,華紙,name_with_context,,,116,67,0,49
1906,寶隆,造紙,,False,,寶隆,name_with_context,,,66,52,0,14
1909,榮成,造紙,,False,,榮成,name_with_context,,,347,227,0,120
2007,燁興,鋼鐵,,False,,燁興,name_with_context,,,86,50,0,36
2008,高興昌,鋼鐵,,False,,高興昌,name,,,43,25,18,0
2009,第一銅,鋼鐵,,False,,第一銅,name,,,229,86,143,0
2010,春源,鋼鐵,,True,春源,春源,name_with_context,,,37,37,0,0
2012,春雨,鋼鐵,,True,春雨,春雨,name_with_context,,,30,30,0,0
2015,豐興,鋼鐵,,False,,豐興,name_with_context,,,123,83,0,40
2059,川湖,電子零組件,,False,,川湖,name_with_context,,,181,150,0,31
2062,橋椿,居家生活,,False,,橋椿,name_with_context,,,70,63,0,7
2072,世紀風電,綠能環保,,False,,世紀風電,name,,,29,10,19,0
2101,南港,橡膠,,True,南港,南港,name_with_context,,,45,45,0,0
2102,泰豐,橡膠,,False,,泰豐,name_with_context,,,99,66,0,33
2103,台橡,橡膠,,False,,台橡,name_with_context,,,124,97,0,27
2104,國際中橡,橡膠,,False,,國際中橡,name,,,119,90,29,0
2105,正新,橡膠,,False,,正新,name_with_context,,,344,221,0,123
2106,建大,橡膠,,False,,建大,name_with_context,,,109,64,0,45
2107,厚生,橡膠,,False,,厚生,name_with_context,,,32,20,0,12
2108,南帝,橡膠,,False,,南帝,name_with_context,,,243,188,0,55
2109,華豐,橡膠,,False,,華豐,name_with_context,,,23,16,0,7
2114,鑫永銓,橡膠,,False,,鑫永銓,name,,,27,17,10,0
2208,台船,航運,,False,,台船,name_with_context,,,264,144,0,120
2302,麗正,半導體,,False,,麗正,name_with_context,,,24,17,0,7
