ticker,name_short,sector,n_code_matches,n_name_matches,n_nonzero_weeks_code,n_nonzero_weeks_name,corr_test_powered,code_name_corr,corr_verdict,corr_fail,already_code_only,recommend_demote_to_code_only,n_obs,beta_turnover,t_turnover,beta_absret,t_absret,comovement_pass,comovement_note,match_quality_tier
1417,嘉裕,紡織,121,8,80,8,False,,insufficient_power,False,False,False,499.0,0.043633124381747934,3.3795026348955015,0.7253757341605706,1.6887710278096897,True,,D_corr_untested
1418,東華,紡織,24,0,20,0,False,,insufficient_power,False,True,False,487.0,0.003499742775045739,0.8227881759928095,0.14084110879059575,1.0372453866503115,False,,C_suspect_no_comovement
1419,新紡,紡織,83,7,48,6,False,,insufficient_power,False,False,False,501.0,0.0033084197851750486,0.5750547248438949,0.7066125492207325,1.5041024640457812,False,,C_suspect_no_comovement
1423,利華,紡織,88,0,55,0,False,,insufficient_power,False,True,False,499.0,0.0017025502581314007,0.4279669684260007,0.08034851180166042,0.6039143154862893,False,,C_suspect_no_comovement
1432,大魯閣,運動休閒,151,0,93,0,False,,insufficient_power,False,True,False,500.0,0.061250555997983125,3.835079572965379,1.1747816588141407,3.0143943757889766,True,,B_code_only
1434,福懋,紡織,256,72,151,63,True,0.034585365527755464,fail,True,False,True,501.0,0.10669587909351759,2.879146325203994,1.8184340536707686,1.5916051079149052,True,,B_code_only
1471,首利,電子零組件,82,0,43,0,False,,insufficient_power,False,True,False,500.0,0.034253270933479976,3.8710790366779464,0.38468689686514823,2.1038896117769714,True,,B_code_only
1503,士電,電機機械,483,90,143,59,True,0.4251155469541108,fail,True,False,True,501.0,0.14417642353953974,5.775768554640458,2.6929013297136777,2.0557405698644575,True,,B_code_only
1504,東元,電機機械,1066,105,308,83,True,0.20571815201795085,fail,True,False,True,501.0,0.3053953406710876,10.02991594789184,1.4904185426163812,1.4010445764823738,True,,B_code_only
1506,正道,電機機械,113,0,69,0,False,,insufficient_power,False,True,False,501.0,0.010424941649572193,0.8803577666255102,1.025570523519723,1.5851924425949369,False,,C_suspect_no_comovement
1512,瑞利,汽車,43,11,37,9,False,,insufficient_power,False,False,False,500.0,0.006984205386997553,0.8798953776750719,0.45284761661280143,1.6106813850731245,False,,C_suspect_no_comovement
1513,中興電,電機機械,1038,297,238,141,True,0.5473703885218334,pass,False,False,False,501.0,0.28991869740848764,8.703716483992046,2.9713700789214124,2.7406872516660967,True,,A_clean
1514,亞力,電機機械,483,0,171,0,False,,insufficient_power,False,True,False,501.0,0.11626204306826973,3.7634280072959285,2.531059137989611,3.3565703972015495,True,,B_code_only
1515,力山,電機機械,263,0,141,0,False,,insufficient_power,False,True,False,501.0,0.08104590847498586,5.335414539690329,0.8455543690008931,1.9862479493537386,True,,B_code_only
1517,利奇,電機機械,110,0,71,0,False,,insufficient_power,False,True,False,501.0,0.015300399017522058,2.0810731283545594,1.3403836283811066,2.8232253774049303,True,,B_code_only
1519,華城,電機機械,791,170,193,101,True,0.36253015321938603,fail,True,False,True,501.0,0.22188385884363854,8.243796792678541,2.3478071908140477,3.243171151445495,True,,B_code_only
1521,大億,汽車,157,20,100,16,False,,insufficient_power,False,False,False,501.0,0.07562567670020562,4.383097315446762,-1.0196387076479847,-1.472185012859021,True,,D_corr_untested
1522,堤維西,汽車,301,48,166,38,True,0.19162888328119818,fail,True,False,True,501.0,0.05905600234649422,3.9667257289623787,1.5010317202151917,2.104488785605758,True,,B_code_only
1524,耿鼎,汽車,274,30,141,18,True,0.31736007538414235,fail,True,False,True,500.0,0.07080300582824248,3.3506265995972204,2.202832884494384,2.6014488514997764,True,,B_code_only
1525,江申,汽車,118,15,75,15,False,,insufficient_power,False,False,False,501.0,0.03849944812980213,3.613892310955713,0.5604994712789004,1.2160470886715364,True,,D_corr_untested
1526,日馳,電機機械,63,19,49,16,False,,insufficient_power,False,False,False,501.0,0.028559584906536636,2.8548817913985216,0.3772836730661101,0.9523552438096197,True,,D_corr_untested
1527,鑽全,電機機械,216,23,123,20,False,,insufficient_power,False,False,False,500.0,0.11443063251806902,4.624703307126767,0.5176648197188121,0.8110155291666923,True,,D_corr_untested
1533,車王電,汽車,139,33,84,27,True,0.2099000934779595,fail,True,False,True,501.0,0.04427595471551837,2.9552798010161645,1.9863386382725898,2.577901270427595,True,,B_code_only
1536,和大,汽車,545,506,241,291,True,0.056067282903557794,fail,True,False,True,501.0,0.18573643201921583,5.486747044778183,0.9966782056996756,1.0090924956144962,True,,B_code_only
1582,信錦,電子零組件,174,12,111,11,False,,insufficient_power,False,False,False,500.0,0.048052314069304346,3.1551473751688595,1.4214787009698506,2.084867626581343,True,,D_corr_untested
1598,岱宇,運動休閒,147,14,89,12,False,,insufficient_power,False,False,False,429.0,0.06243072283472105,3.448732538529769,-0.07517844429681325,-0.13011631804978366,True,,D_corr_untested
1603,華電,電器電纜,114,67,65,57,True,0.15547377602723733,fail,True,False,True,480.0,0.0403190360362827,3.025337547631376,0.9637210046276583,1.327983679388,True,,B_code_only
1604,聲寶,電器電纜,106,19,81,18,False,,insufficient_power,False,False,False,501.0,0.06447085065749947,2.888800610973384,0.8486578413224064,1.0363190628716155,True,,D_corr_untested
1605,華新,電器電纜,1795,24,388,22,False,,insufficient_power,False,False,False,501.0,0.413931593899038,11.98145529801865,-0.24635844434437204,-0.3085925820225287,True,,D_corr_untested
1608,華榮,電器電纜,242,27,125,19,False,,insufficient_power,False,False,False,501.0,0.05307203089900448,2.6205029957645682,1.6804626578943442,2.6801688624769393,True,,D_corr_untested
1609,大亞,電器電纜,684,0,217,0,False,,insufficient_power,False,True,False,501.0,0.10711199510338691,4.957073699176513,2.02318510990065,2.5104954460389917,True,,B_code_only
1611,中電,電器電纜,179,0,101,0,False,,insufficient_power,False,True,False,500.0,0.03728559113254593,2.173264226049446,0.57080650370632,1.4403750160342974,True,,B_code_only
1612,宏泰,電器電纜,216,20,120,19,False,,insufficient_power,False,False,False,501.0,0.020638199018971085,1.741931403615192,0.8823216746810012,1.7339017343070244,False,,C_suspect_no_comovement
1614,三洋電,電器電纜,80,11,43,10,False,,insufficient_power,False,False,False,501.0,0.011439181142289125,1.150896076982315,2.0223080370715305,1.3873457512697236,False,,C_suspect_no_comovement
1615,大山,電器電纜,116,0,70,0,False,,insufficient_power,False,True,False,501.0,0.017891737972632805,1.8635308683755936,0.49156299643398266,0.8041480989662976,False,,C_suspect_no_comovement
1616,億泰,電器電纜,40,23,33,20,False,,insufficient_power,False,False,False,501.0,0.039820585828846226,2.5710722436056654,0.5075373905248857,0.7973697293029985,True,,D_corr_untested
1707,葡萄王,生技,329,83,184,53,True,0.18169060684688207,fail,True,False,True,501.0,0.20449350493671822,5.98900158199305,1.1948504021189752,1.0029475973765372,True,,B_code_only
1708,東鹼,化學,334,40,156,18,True,0.4346944561750802,fail,True,False,True,501.0,0.1190142234861486,2.9028251759029677,1.5565211931013812,1.5249354475187624,True,,B_code_only
1709,和益,化學,174,11,102,9,False,,insufficient_power,False,False,False,500.0,0.02859358043799992,2.5780309033314066,1.9832310748331823,3.028346443072123,True,,D_corr_untested
1710,東聯,化學,395,53,199,44,True,0.19329365212018493,fail,True,False,True,501.0,0.17671892854501697,5.58702772386722,1.9650478960931625,1.9940210632719977,True,,B_code_only
1711,永光,化學,270,47,131,24,True,0.313123605526208,fail,True,False,True,501.0,0.11280320599017898,3.343469551965617,0.8450539684512273,1.0295100377446502,True,,B_code_only
1712,興農,化學,274,68,148,51,True,0.17786712798222587,fail,True,False,True,501.0,0.1132576137558361,4.296852388392825,1.1175036803096692,0.9135798532624172,True,,B_code_only
1713,國化,化學,95,26,57,24,False,,insufficient_power,False,False,False,501.0,0.014664974120690413,1.570986764066397,1.558737479108168,1.8127161252028001,False,,C_suspect_no_comovement
1714,和桐,化學,223,9,131,8,False,,insufficient_power,False,False,False,501.0,0.058730897649503844,3.4753044588520896,1.3940631192270636,2.3239985238923095,True,,D_corr_untested
