ticker,name_short,sector,listing_date,delisting_date,listed_before_sample_end,n_panel_weeks,first_panel_week,last_panel_week,excluded_reason
1608,華榮,電器電纜,1988-07-11,,True,506,2015-05-03,2025-01-05,
1609,大亞,電器電纜,1988-12-12,,True,506,2015-05-03,2025-01-05,
1611,中電,電器電纜,1990-01-16,,True,506,2015-05-03,2025-01-05,
1612,宏泰,電器電纜,1993-05-08,,True,506,2015-05-03,2025-01-05,
1614,三洋電,電器電纜,1997-09-18,,True,506,2015-05-03,2025-01-05,
1615,大山,電器電纜,2000-03-30,,True,506,2015-05-03,2025-01-05,
1616,億泰,電器電纜,2000-09-11,,True,506,2015-05-03,2025-01-05,
1707,葡萄王,生技,1982-12-20,,True,506,2015-05-03,2025-01-05,
1720,生達,生技,1995-12-12,,True,506,2015-05-03,2025-01-05,
1731,美吾華,生技,2001-09-17,,True,506,2015-05-03,2025-01-05,
1733,五鼎,生技,2001-09-17,,True,506,2015-05-03,2025-01-05,
1734,杏輝,生技,2002-08-26,,True,506,2015-05-03,2025-01-05,
1752,南光,生技,2022-01-19,,True,155,2022-01-23,2025-01-05,
1760,寶齡富錦,生技,2018-01-23,,True,363,2018-01-28,2025-01-05,
1762,中化生,生技,2010-12-20,,True,506,2015-05-03,2025-01-05,
1783,和康生,生技,2013-12-20,,True,506,2015-05-03,2025-01-05,
1786,科妍,生技,2013-11-12,,True,506,2015-05-03,2025-01-05,
1708,東鹼,化學,1986-06-16,,True,506,2015-05-03,2025-01-05,
1709,和益,化學,1986-07-03,,True,506,2015-05-03,2025-01-05,
1710,東聯,化學,1987-10-21,,True,506,2015-05-03,2025-01-05,
1711,永光,化學,1988-12-27,,True,506,2015-05-03,2025-01-05,
1712,興農,化學,1989-12-14,,True,506,2015-05-03,2025-01-05,
1713,國化,化學,1990-01-31,,True,506,2015-05-03,2025-01-05,
1714,和桐,化學,1991-08-30,,True,506,2015-05-03,2025-01-05,
1717,長興,化學,1994-03-31,,True,506,2015-05-03,2025-01-05,
1718,中纖,化學,1963-12-02,,True,506,2015-05-03,2025-01-05,
1721,三晃,化學,1996-05-16,,True,506,2015-05-03,2025-01-05,
1802,台玻,玻璃,1973-07-20,,True,506,2015-05-03,2025-01-05,
1806,冠軍,玻璃,1992-09-29,,True,506,2015-05-03,2025-01-05,
1809,中釉,玻璃,1996-04-30,,True,506,2015-05-03,2025-01-05,
1810,和成,玻璃,1991-10-14,,True,506,2015-05-03,2025-01-05,
