sparsity_tier,n_tickers_modal,n_tickers_any_week,n_ticker_weeks,share_of_panel,mean_att,share_zero_weeks
dense,11,36,5847,0.047218722744451984,9.925260817513255,0.11818026338293142
sparse,142,253,69798,0.5636689601705591,0.5054872632453652,0.7535746009914324
silent,107,257,47948,0.3872145233711277,0.07510219404354718,0.9436472845582715
unknown,0,0,0,0.0,,
