ticker,name_short,sector,listing_date,delisting_date,venue,is_ky,registration
1809,中釉,玻璃,1996-04-30,,TWSE,0,－
1810,和成,玻璃,1991-10-14,,TWSE,0,－
1817,凱撒衛,玻璃,2013-10-24,,TWSE,0,－
1903,士紙,造紙,1963-12-09,,TWSE,0,－
1904,正隆,造紙,1971-09-10,,TWSE,0,－
1905,華紙,造紙,1975-02-07,,TWSE,0,－
1906,寶隆,造紙,1976-04-26,,TWSE,0,－
1907,永豐餘,造紙,1977-02-22,,TWSE,0,－
1909,榮成,造紙,1985-11-19,,TWSE,0,－
6790,永豐實,造紙,2021-09-29,,TWSE,0,－
2002,中鋼,鋼鐵,1974-12-26,,TWSE,0,－
2006,東和鋼鐵,鋼鐵,1988-07-13,,TWSE,0,－
2007,燁興,鋼鐵,1988-10-04,,TWSE,0,－
2008,高興昌,鋼鐵,1988-12-28,,TWSE,0,－
2009,第一銅,鋼鐵,1989-10-20,,TWSE,0,－
2010,春源,鋼鐵,1989-12-22,,TWSE,0,－
2012,春雨,鋼鐵,1991-10-17,,TWSE,0,－
2013,中鋼構,鋼鐵,1992-01-21,,TWSE,0,－
2014,中鴻,鋼鐵,1992-02-20,,TWSE,0,－
2015,豐興,鋼鐵,1992-05-25,,TWSE,0,－
2062,橋椿,居家生活,2007-11-16,,TWSE,0,－
3557,嘉威,居家生活,2008-02-27,,TWSE,0,－
6671,三能-KY,居家生活,2018-12-11,,TWSE,1,KY 開曼群島
6754,匯僑設計,居家生活,2020-08-25,,TWSE,0,－
6807,峰源-KY,居家生活,2022-04-25,,TWSE,1,KY 開曼群島
8464,億豐,居家生活,2015-12-22,,TWSE,0,－
8482,商億-KY,居家生活,2018-08-15,,TWSE,1,KY 開曼群島
9911,櫻花,居家生活,1992-07-16,,TWSE,0,－
9924,福興,居家生活,1995-03-15,,TWSE,0,－
9934,成霖,居家生活,2000-09-11,,TWSE,0,－
2072,世紀風電,綠能環保,2026-03-26,,TWSE,0,－
3708,上緯投控,綠能環保,2016-08-31,,TWSE,0,－
5292,華懋,綠能環保,2023-11-21,,TWSE,0,－
6581,鋼聯,綠能環保,2018-01-30,,TWSE,0,－
6641,基士德-KY,綠能環保,2018-09-21,,TWSE,1,KY 開曼群島
6869,雲豹能源,綠能環保,2023-03-14,,TWSE,0,－
6873,泓德能源,綠能環保,2024-09-26,,TWSE,0,－
6887,寶綠特-KY,綠能環保,2025-03-10,,TWSE,1,KY 開曼群島
6923,中台,綠能環保,2024-09-25,,TWSE,0,－
6944,兆聯實業,綠能環保,2025-05-28,,TWSE,0,－
2101,南港,橡膠,1963-11-01,,TWSE,0,－
2102,泰豐,橡膠,1979-07-16,,TWSE,0,－
2103,台橡,橡膠,1982-09-25,,TWSE,0,－
2104,國際中橡,橡膠,1986-07-15,,TWSE,0,－
2105,正新,橡膠,1987-12-07,,TWSE,0,－
2106,建大,橡膠,1990-12-20,,TWSE,0,－
2107,厚生,橡膠,1992-03-03,,TWSE,0,－
2108,南帝,橡膠,1992-10-27,,TWSE,0,－
2109,華豐,橡膠,2000-05-08,,TWSE,0,－
2114,鑫永銓,橡膠,2010-12-29,,TWSE,0,－
2208,台船,航運,2008-12-22,,TWSE,0,－
2601,益航,航運,1965-11-04,,TWSE,0,－
2603,長榮,航運,1987-09-21,,TWSE,0,－
2605,新興,航運,1989-12-08,,TWSE,0,－
2606,裕民,航運,1990-12-08,,TWSE,0,－
2607,榮運,航運,1990-12-14,,TWSE,0,－
2608,嘉里大榮,航運,1990-12-20,,TWSE,0,－
2609,陽明,航運,1992-04-20,,TWSE,0,－
2610,華航,航運,1993-02-26,,TWSE,0,－
2611,志信,航運,1993-10-28,,TWSE,0,－
2302,麗正,半導體,1985-01-15,,TWSE,0,－
